Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,PlateLocHeight,PlateLocSide
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,2.09603,-1.76395
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,4.15014,0.9676
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,46.457071,136.513516,nan,2.71457,-0.31698
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.68142,-0.18071
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,0.49343,-0.65157
0-0 Count,Fastball,Single,LineDrive,InPlay,12.722509,-20.077304,283.35727,2.50412,0.45039
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,4.06313,0.5949
0-0 Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,1.54935,-0.04556
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,3.20889,-0.09895
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,3.50654,-1.36386
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,2.45583,-1.51144
0-0 Count,Fastball,Out,Popup,InPlay,32.980962,3.154226,383.24845,2.17638,-0.53825
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,3.0632,1.27958
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,3.32858,0.95031
0-0 Count,Sinker,Out,GroundBall,InPlay,-7.022008,4.67719,11.64526,1.3857,0.01039
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,0.67304,-0.99031
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,1.87495,-1.00715
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,3.12213,0.8602
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,3.81932,-0.78151
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,1.56641,-0.04075
0-0 Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,35.282533,161.573359,nan,2.92623,-0.42907
0-0 Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,34.118563,54.487454,nan,1.62631,-0.18192
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,2.66105,0.06714
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.15258,0.01942
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,3.77616,0.69478
0-0 Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,2.64503,-0.20731
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,2.04963,0.85981
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,60.437063,87.320722,nan,2.51873,-0.19177
0-0 Count,Fastball,Undefined,Undefined,FoulBallFieldable,56.231876,36.725778,210.12825,2.11605,0.39053
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,3.31997,0.87573
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.91208,-1.37192
0-0 Count,Fastball,Single,GroundBall,InPlay,5.253385,-4.434775,98.41474,2.00761,0.62219
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,-0.11519,-1.04516
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,2.67985,0.93455
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,3.14061,-1.45738
0-0 Count,Sinker,Out,LineDrive,InPlay,15.086581,-0.18962,294.8359,1.33581,0.37858
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.08855,-2.40522
0-0 Count,Fastball,HomeRun,FlyBall,InPlay,24.016997,24.306914,366.25133,3.17909,-0.57019
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.61833,-1.40048
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,2.70187,1.28465
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,2.90479,1.54199
0-0 Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.2878,-0.99062
0-0 Count,Sinker,Out,GroundBall,InPlay,-2.849359,-14.035957,22.46751,1.7081,0.43846
0-0 Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,7.358149,165.821667,nan,2.76751,0.18663
0-0 Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,50.355736,146.182628,nan,2.70598,0.97327
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,5.09659,0.92736
0-0 Count,Curveball,HomeRun,FlyBall,InPlay,30.511815,-24.742441,427.53962,2.21621,0.39373
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,2.80339,1.91744
0-0 Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,58.639839,145.652064,nan,2.3954,0.37815
0-0 Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan,0.97644,-0.91396
0-0 Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,61.985013,126.851201,nan,1.90426,0.36068
0-0 Count,Slider,Single,LineDrive,InPlay,18.258283,-28.868481,285.26713,3.39514,0.00302
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.08571,0.13202
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,2.73161,1.57424
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.38292,-0.59226
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,2.18677,-1.4149
0-0 Count,Fastball,Out,Popup,InPlay,62.569429,15.419469,nan,1.98274,0.04633
0-0 Count,Fastball,Single,LineDrive,InPlay,11.610955,10.427969,219.476,3.06867,-0.20889
0-0 Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,2.86499,-0.76484
0-0 Count,Fastball,Out,GroundBall,InPlay,-1.047471,24.76262,47.02909,2.93441,-0.00011
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,0.88671,-1.433
0-0 Count,ChangeUp,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.64097,-0.87547
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,1.2215,-1.31217
0-0 Count,Fastball,Out,GroundBall,InPlay,nan,nan,nan,3.0436,-0.01351
0-0 Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,1.27323,-0.23427
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,4.51228,0.12692
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,3.34617,-0.04861
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.69338,-0.97952
0-0 Count,Slider,Single,GroundBall,InPlay,-2.227883,-3.108514,36.7328,2.8812,-0.58426
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,0.95819,-1.07456
0-0 Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,3.68157,-0.49386
0-0 Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.5344,0.52376
0-0 Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan,3.52438,-1.63552
0-0 Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,1.75328,-1.19396
0-0 Count,Slider,Double,LineDrive,InPlay,18.674736,-17.312827,399.28208,1.106,-0.02532
0-0 Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan,4.0397,1.97773
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,3.03771,-2.12385
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,2.83697,-3.46608
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,3.36898,-2.66407
0-0 Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan,2.24695,0.13209
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,1.85014,1.02198
0-0 Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,1.57876,0.63736
0-0 Count,Sinker,HomeRun,FlyBall,InPlay,26.488065,27.29772,372.51379,2.42922,-0.86455
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,1.01184,-1.03382
0-0 Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,1.25976,-0.76762
0-0 Count,Sinker,Out,LineDrive,InPlay,17.191498,-14.595218,334.45955,2.09097,0.66155
