PA,PitchofPA,Batter,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,Angle,Direction,Distance,PlateLocHeight,PlateLocSide,PitchCall,TaggedHitType,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,PitcherThrows,ExitSpeed,RelSpeed,is_single,is_double,is_triple,is_home_run
,6,"Caulfield, Garen",2.0,2.0,Undefined,Fastball,Undefined,,,,2.46125,0.5204,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240919-UArizona-Private-1,Left,,88.56363,False,False,False,False
,7,"Caulfield, Garen",2.0,2.0,Undefined,Slider,Undefined,38.722631,165.27103,,2.237,-0.3177,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240919-UArizona-Private-1,Left,63.42283,81.11702,False,False,False,False
,8,"Caulfield, Garen",2.0,2.0,Undefined,Fastball,HomeRun,26.906398,2.192136,427.63012,2.8528,-0.22635,InPlay,FlyBall,1.0,1.0,4.0,1.0,,140.0,0,0,1,,0.0,20240919-UArizona-Private-1,Left,104.23575,87.99468,False,False,False,True
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,2.21406,-2.41982,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,85.92587,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Undefined,,,,3.72111,-0.55872,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,89.37963,False,False,False,False
,3,"Caulfield, Garen",0.0,2.0,Undefined,ChangeUp,Undefined,,,,6.14162,1.99944,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,85.04684,False,False,False,False
,4,"Caulfield, Garen",0.0,3.0,Undefined,Fastball,Undefined,,,,1.71625,-0.92581,StrikeCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,90.34101,False,False,False,False
,5,"Caulfield, Garen",1.0,3.0,Walk,Fastball,Undefined,,,,0.85362,-1.58232,BallCalled,Undefined,,1.0,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,91.25686,False,False,False,False
1.0,1,"Caulfield, Garen",0.0,0.0,Undefined,Slider,Undefined,,,,0.15311,-0.91278,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,82.70934,False,False,False,False
,2,"Caulfield, Garen",0.0,1.0,Undefined,Fastball,Undefined,,,,2.47915,-0.34786,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,90.49734,False,False,False,False
,3,"Caulfield, Garen",1.0,1.0,Undefined,Fastball,Undefined,,,,3.6719,1.06299,BallCalled,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,89.80534,False,False,False,False
,4,"Caulfield, Garen",1.0,2.0,Undefined,Slider,Undefined,,,,2.29927,0.90363,FoulBallNotFieldable,Undefined,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,82.4149,False,False,False,False
,5,"Caulfield, Garen",2.0,2.0,Strikeout,Fastball,Undefined,,,,2.80933,-1.26695,StrikeCalled,Undefined,0.0,0.0,0.0,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,,90.92572,False,False,False,False
