Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,pitch_call,Angle,Direction,Distance,Location
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(2.47915, -0.34786)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.6719, 1.06299)"
Neutral Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.1575, 1.40032)"
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.68142, -0.18071)"
Neutral Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(1.54935, -0.04556)"
Neutral Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(3.20889, -0.09895)"
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.32858, 0.95031)"
Neutral Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(1.87495, -1.00715)"
Neutral Count,Slider,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(3.12213, 0.8602)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.77616, 0.69478)"
Neutral Count,Fastball,Single,GroundBall,InPlay,5.253385,-4.434775,98.41474,"(2.00761, 0.62219)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.67985, 0.93455)"
Neutral Count,Fastball,HomeRun,FlyBall,InPlay,24.016997,24.306914,366.25133,"(3.17909, -0.57019)"
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.70187, 1.28465)"
Neutral Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,50.355736,146.182628,nan,"(2.70598, 0.97327)"
Neutral Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,58.639839,145.652064,nan,"(2.3954, 0.37815)"
Neutral Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.97644, -0.91396)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.73161, 1.57424)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.38292, -0.59226)"
Neutral Count,Fastball,Out,GroundBall,InPlay,-1.047471,24.76262,47.02909,"(2.93441, -0.00011)"
Neutral Count,ChangeUp,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(1.64097, -0.87547)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.2215, -1.31217)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(4.51228, 0.12692)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.68157, -0.49386)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.83697, -3.46608)"
Neutral Count,Sinker,HomeRun,FlyBall,InPlay,26.488065,27.29772,372.51379,"(2.42922, -0.86455)"
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.25976, -0.76762)"
Neutral Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan,"(3.34202, -0.13425)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.88666, -1.64316)"
Neutral Count,Slider,Out,Popup,InPlay,42.69481,2.061732,282.2932,"(3.11539, 0.21182)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.9638, -1.62563)"
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.4984, -0.59318)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(-0.19364, -1.30276)"
Neutral Count,Fastball,Out,FlyBall,InPlay,47.145041,5.085462,170.85413,"(2.57991, 0.17083)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.45782, -0.87538)"
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(3.54592, 0.31096)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.47169, -0.84474)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(3.45663, -1.06954)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.68941, -1.66424)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(4.9494, 0.03156)"
Neutral Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.60275, 0.25019)"
Neutral Count,Slider,Out,LineDrive,InPlay,25.113325,13.212199,341.75475,"(1.59021, -0.14269)"
Neutral Count,Cutter,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.05908, 0.75324)"
Neutral Count,Fastball,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(3.0859, -0.18628)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(0.03659, -0.55868)"
Neutral Count,Slider,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan,"(1.9799, -0.82155)"
Neutral Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan,"(1.38992, -2.03022)"
Neutral Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan,"(4.1934, -0.43192)"
Neutral Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan,"(2.27061, -0.07149)"
Neutral Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan,"(2.32541, -2.21092)"
