Count Type,Pitch Type,PA_Result_Type,PA_Result_Outcome,Angle,Direction,Distance,Location
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Out,LineDrive,InPlay,17.191498,-14.595218,334.45955
Hitter's Count,Sinker,Out,LineDrive,InPlay,17.191498,-14.595218,334.45955
Hitter's Count,Sinker,Out,GroundBall,InPlay,-13.057653,11.901112,7.92667
Hitter's Count,Sinker,Out,GroundBall,InPlay,-13.057653,11.901112,7.92667
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,ChangeUp,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Hitter's Count,Fastball,Out,LineDrive,InPlay,18.322016,22.906783,304.86746
Hitter's Count,Fastball,Out,LineDrive,InPlay,18.322016,22.906783,304.86746
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Hitter's Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,62.581275,32.747408,nan
Hitter's Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,62.581275,32.747408,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Curveball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan
Hitter's Count,Sinker,Undefined,Undefined,HitByPitch,nan,nan,nan
Full Count,Fastball,Out,Popup,InPlay,32.980962,3.154226,383.24845
Full Count,Fastball,Out,Popup,InPlay,32.980962,3.154226,383.24845
Full Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,34.118563,54.487454,nan
Full Count,Sinker,Undefined,Undefined,FoulBallNotFieldable,34.118563,54.487454,nan
Full Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Full Count,Slider,Undefined,Undefined,StrikeSwinging,nan,nan,nan
Full Count,Fastball,Undefined,Undefined,FoulBallFieldable,56.231876,36.725778,210.12825
Full Count,Fastball,Undefined,Undefined,FoulBallFieldable,56.231876,36.725778,210.12825
Full Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Full Count,Curveball,Undefined,Undefined,BallCalled,nan,nan,nan
Full Count,Slider,Double,LineDrive,InPlay,18.674736,-17.312827,399.28208
Full Count,Slider,Double,LineDrive,InPlay,18.674736,-17.312827,399.28208
Full Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Full Count,ChangeUp,Undefined,Undefined,FoulBallNotFieldable,nan,nan,nan
Full Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Full Count,Fastball,Undefined,Undefined,BallCalled,nan,nan,nan
Full Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Full Count,Slider,Undefined,Undefined,BallCalled,nan,nan,nan
Full Count,Slider,Single,GroundBall,InPlay,-2.723317,-3.683551,23.45922
Full Count,Slider,Single,GroundBall,InPlay,-2.723317,-3.683551,23.45922
Full Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,14.598157,175.418737,112.92815
Full Count,Curveball,Undefined,Undefined,FoulBallNotFieldable,14.598157,175.418737,112.92815
Full Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
Full Count,Fastball,Undefined,Undefined,StrikeCalled,nan,nan,nan
