PA,PitchofPA,Batter,TaggedPitchType,PlayResult,Angle,Direction,AdjustedDirection,Distance,PlateLocHeight,PlateLocSide,CountType,PitchCall,ExitSpeed,KorBB,PositionAt110X,PositionAt110Y,PositionAt110Z,PitcherThrows,TaggedHitType,ContactPositionX,ContactPositionY,ContactPositionZ,swing,whiff,RelSpeed
,4,"Caulfield, Garen",Fastball,Undefined,,,,,1.46595,-0.75675,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,89.54266
,5,"Caulfield, Garen",Fastball,Undefined,,,,,3.1192,-0.2211,Hitter's Count,StrikeSwinging,,Undefined,,,,Right,Undefined,,,,1.0,1.0,90.2232
,6,"Caulfield, Garen",ChangeUp,Undefined,,,,,1.06938,0.33791,Full Count,FoulBallNotFieldable,,Undefined,,,,Right,Undefined,,,,,,81.84684
,7,"Caulfield, Garen",Fastball,Undefined,,,,,3.3223,1.2547,Full Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,89.96585
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,1.14173,-1.64926,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,90.97591
,2,"Caulfield, Garen",Fastball,Undefined,,,,,2.4984,-0.59318,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,88.27764
,3,"Caulfield, Garen",Slider,Undefined,,,,,-0.19364,-1.30276,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,80.70687
,4,"Caulfield, Garen",Fastball,Out,18.322016,22.906783,-22.906783,304.86746,1.96203,-0.62373,Hitter's Count,InPlay,96.89747,Undefined,97.59219,31.33197,50.75034,Right,LineDrive,0.92341,1.68431,0.53274,1.0,,89.27045
1.0,1,"Caulfield, Garen",Cutter,Undefined,,,,,3.58293,-0.76972,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,86.64976
,2,"Caulfield, Garen",Fastball,Out,47.145041,5.085462,-5.085462,170.85413,2.57991,0.17083,Neutral Count,InPlay,93.19954,Undefined,108.01575,118.53049,20.79827,Right,FlyBall,1.65517,2.4431,-0.18898,1.0,,90.38063
1.0,1,"Caulfield, Garen",Fastball,Undefined,50.411522,34.245944,-34.245944,,1.97822,0.00625,0-0 Count,FoulBallNotFieldable,89.63767,Undefined,,,,Right,Undefined,1.35038,1.60388,-0.14962,,,90.12723
,2,"Caulfield, Garen",Slider,Undefined,,,,,3.45782,-0.87538,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,78.91132
,3,"Caulfield, Garen",Fastball,Undefined,,,,,3.54592,0.31096,Neutral Count,FoulBallNotFieldable,,Undefined,,,,Right,Undefined,,,,,,90.12447
,4,"Caulfield, Garen",Slider,Undefined,,,,,3.46211,1.2338,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,75.22835
,5,"Caulfield, Garen",Cutter,Undefined,,,,,0.31027,-1.80555,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,87.3073
,6,"Caulfield, Garen",Slider,Undefined,,,,,1.00443,-0.64105,Full Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,79.73084
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.30022,0.04325,0-0 Count,StrikeCalled,,Undefined,,,,Left,Undefined,,,,,,82.01492
,2,"Caulfield, Garen",Fastball,Undefined,,,,,0.47169,-0.84474,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,89.61383
,3,"Caulfield, Garen",Fastball,Undefined,,,,,3.45663,-1.06954,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,88.85268
,4,"Caulfield, Garen",Fastball,Undefined,,,,,2.44231,-0.40323,Hitter's Count,StrikeSwinging,,Undefined,,,,Left,Undefined,,,,1.0,1.0,89.08818
,5,"Caulfield, Garen",Fastball,Undefined,,,,,3.79209,-0.43982,Pitcher's Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,88.5623
,6,"Caulfield, Garen",Slider,Single,-2.723317,-3.683551,3.683551,23.45922,1.52457,-0.26226,Full Count,InPlay,104.28651,Undefined,,,,Left,GroundBall,2.04145,1.49279,0.27427,1.0,,78.61962
1.0,1,"Caulfield, Garen",Fastball,Triple,18.574014,22.504314,-22.504314,309.74517,3.21546,-0.79375,0-0 Count,InPlay,99.83499,Undefined,98.82227,31.86048,48.31297,Right,LineDrive,0.80229,2.88523,0.67258,1.0,,91.97822
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,2.73254,0.27037,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,90.0883
,2,"Caulfield, Garen",Slider,Undefined,,,,,0.68941,-1.66424,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,82.24147
,3,"Caulfield, Garen",Fastball,Undefined,,,,,4.9494,0.03156,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,88.925
,4,"Caulfield, Garen",Curveball,Undefined,62.581275,32.747408,-32.747408,,2.72603,0.41145,Hitter's Count,FoulBallNotFieldable,77.07345,Undefined,,,,Right,Undefined,1.4456,2.68585,-0.4549,,,77.79603
,5,"Caulfield, Garen",Fastball,Undefined,39.769024,166.727864,-166.727864,,3.32402,-0.11313,Pitcher's Count,FoulBallNotFieldable,72.30393,Undefined,,,,Right,Undefined,1.66395,3.26372,0.08409,,,90.51111
,6,"Caulfield, Garen",Curveball,Undefined,,,,,2.86711,0.36281,Pitcher's Count,StrikeCalled,,Strikeout,,,,Right,Undefined,,,,,,77.51917
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,2.40383,-0.34662,0-0 Count,StrikeCalled,,Undefined,,,,Left,Undefined,,,,,,92.26535
,2,"Caulfield, Garen",Curveball,Undefined,,,,,0.60275,0.25019,Neutral Count,BallCalled,,Undefined,,,,Left,Undefined,,,,,,80.54787
,3,"Caulfield, Garen",Slider,Out,25.113325,13.212199,-13.212199,341.75475,1.59021,-0.14269,Neutral Count,InPlay,101.54795,Undefined,105.02873,47.41685,32.69307,Left,LineDrive,1.65046,1.54593,0.12866,1.0,,86.50514
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.80345,-0.19084,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,78.80275
,2,"Caulfield, Garen",Cutter,Undefined,,,,,2.05908,0.75324,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,87.1809
,3,"Caulfield, Garen",Fastball,Undefined,,,,,3.0859,-0.18628,Neutral Count,FoulBallNotFieldable,,Undefined,,,,Right,Undefined,,,,,,93.53789
,4,"Caulfield, Garen",Slider,Undefined,,,,,2.22123,-1.47051,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,81.86264
,5,"Caulfield, Garen",Slider,Single,-6.849058,-5.035543,5.035543,15.74348,2.09943,-1.07516,Pitcher's Count,InPlay,79.04106,Undefined,,,,Right,GroundBall,1.58409,2.03292,1.0778,1.0,,81.92948
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,-0.86785,-2.85209,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,81.48914
,2,"Caulfield, Garen",Fastball,Undefined,,,,,0.03659,-0.55868,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.48802
,3,"Caulfield, Garen",Fastball,Undefined,,,,,1.58993,-1.01264,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,91.97335
,4,"Caulfield, Garen",Fastball,Undefined,,,,,1.28763,-0.58851,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.66585
,5,"Caulfield, Garen",Fastball,Undefined,,,,,2.13523,-1.71722,Hitter's Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,92.21536
1.0,1,"Caulfield, Garen",Fastball,Undefined,,,,,2.27851,0.02497,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,89.01924
,2,"Caulfield, Garen",Slider,Undefined,,,,,1.9799,-0.82155,Neutral Count,FoulBallNotFieldable,,Undefined,,,,Right,Undefined,,,,,,77.48093
,3,"Caulfield, Garen",ChangeUp,Undefined,-7.656464,-75.650618,75.650618,15.40965,2.23602,0.71851,Pitcher's Count,FoulBallNotFieldable,89.15481,Undefined,,,,Right,Undefined,,,,,,76.71469
,4,"Caulfield, Garen",Slider,Undefined,,,,,2.22479,-1.84397,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,78.123
,5,"Caulfield, Garen",ChangeUp,Undefined,,,,,0.94282,-0.26653,Pitcher's Count,StrikeSwinging,,Strikeout,,,,Right,Undefined,,,,1.0,1.0,77.34899
1.0,1,"Caulfield, Garen",Curveball,Undefined,,,,,2.12273,1.34028,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,80.82256
,2,"Caulfield, Garen",Slider,Undefined,,,,,1.38992,-2.03022,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,82.35766
,3,"Caulfield, Garen",Slider,Undefined,,,,,1.2035,-2.0405,Hitter's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,84.2849
,4,"Caulfield, Garen",Curveball,Undefined,,,,,3.1326,0.31048,Hitter's Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,81.30638
,5,"Caulfield, Garen",Slider,Undefined,,,,,0.80305,-1.63863,Hitter's Count,BallCalled,,Walk,,,,Right,Undefined,,,,,,85.18781
1.0,1,"Caulfield, Garen",Slider,Undefined,,,,,1.53553,-0.72809,0-0 Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,82.66519
,2,"Caulfield, Garen",Fastball,Undefined,,,,,4.1934,-0.43192,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,92.05506
,3,"Caulfield, Garen",Fastball,Undefined,,,,,2.27061,-0.07149,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,90.82903
,4,"Caulfield, Garen",Slider,Undefined,,,,,1.38276,-0.79619,Pitcher's Count,StrikeCalled,,Strikeout,,,,Right,Undefined,,,,,,83.17706
1.0,1,"Caulfield, Garen",Sinker,Undefined,,,,,2.01693,2.01136,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,92.26389
,2,"Caulfield, Garen",Sinker,Undefined,,,,,2.32541,-2.21092,Neutral Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,91.85963
,3,"Caulfield, Garen",Sinker,Undefined,,,,,3.58178,2.05282,Hitter's Count,HitByPitch,,Undefined,,,,Right,Undefined,,,,,,90.16298
1.0,1,"Caulfield, Garen",Fastball,Out,,,,,1.91504,0.31448,0-0 Count,InPlay,,Undefined,,,,Right,GroundBall,,,,1.0,,93.63571
1.0,1,"Caulfield, Garen",Curveball,Undefined,,,,,0.65928,0.14722,0-0 Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,85.58515
,2,"Caulfield, Garen",Fastball,Undefined,,,,,3.35008,-0.36453,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,92.35636
,3,"Caulfield, Garen",Fastball,Undefined,,,,,2.50045,-0.02903,Neutral Count,StrikeCalled,,Undefined,,,,Right,Undefined,,,,,,92.16097
,4,"Caulfield, Garen",Curveball,Undefined,,,,,1.37962,-0.87493,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,84.95189
,5,"Caulfield, Garen",Curveball,Undefined,,,,,-0.02974,-1.09659,Pitcher's Count,BallCalled,,Undefined,,,,Right,Undefined,,,,,,84.63425
,6,"Caulfield, Garen",Curveball,Undefined,14.598157,175.418737,-175.418737,112.92815,3.78144,-0.55163,Full Count,FoulBallNotFieldable,72.58583,Undefined,,,,Right,Undefined,1.56233,3.61218,0.58944,,,84.96881
,7,"Caulfield, Garen",Fastball,Undefined,,,,,1.73118,-0.40988,Full Count,StrikeCalled,,Strikeout,,,,Right,Undefined,,,,,,92.86258
,0,"Caulfield, Garen",,,,,,,,,Neutral Count,,,Strikeout,,,,Left,,,,,,,
,0,"Caulfield, Garen",,,,,,,,,Neutral Count,,,Walk,,,,Left,,,,,,,
,0,"Caulfield, Garen",,,,,,,,,Neutral Count,,,Strikeout,,,,Right,,,,,,,
