PA,PitchofPA,Pitcher,Strikes,Balls,KorBB,TaggedPitchType,PlayResult,RunsScored,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ExitSpeed,RelSpeed,PreviousPitch,called_strike,ooz,Angle,Direction,Distance,PitchCall,TaggedHitType,k,bb,bbspin,pitches,zone,izswing,izmiss,AVG,OBP,SLG,swing,whiff,StadiumID,2B,3B,HR,chase,OutsOnPlay,GameID,BatterSide,PitcherThrows,PositionAt110X,PositionAt110Y,PositionAt110Z,is_single,is_double,is_triple,is_home_run,CountType,pitch_category
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.473764,4.424989,1537.220579,284.169123,9:30,5.4815,-2.86032,4.94041,-36.22065,4.43036,-13.11847,1.06579,0.23687,,83.99603,,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,0-0 Count,0
,2,"Berg, Jack",1.0,0.0,Undefined,ChangeUp,Undefined,1.0,-2.836285,3.435767,1482.877593,297.947263,10:00,5.53713,-2.69988,4.80929,-34.54061,8.63709,-13.97906,-0.03536,-0.60588,,81.74484,ChangeUp,0,1,,,,StrikeSwinging,Undefined,,,,1,,,,,,,1.0,1.0,140.0,0,0,0,1.0,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Neutral Count,0
,3,"Berg, Jack",2.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.373184,4.520327,1657.763242,301.096103,10:00,5.54529,-2.87148,4.98571,-30.50258,8.89323,-13.0193,1.7024,0.32105,,85.08184,ChangeUp,0,0,,,,BallCalled,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Pitcher's Count,0
,4,"Berg, Jack",2.0,1.0,Undefined,Sinker,Undefined,0.0,-0.460499,3.528575,1906.03857,301.899453,10:00,5.71179,-2.88867,4.87011,-22.56777,9.25847,-13.45564,3.39452,-0.66656,,94.98226,ChangeUp,0,0,,,,FoulBallNotFieldable,Undefined,,,,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Pitcher's Count,2
,5,"Berg, Jack",2.0,1.0,Undefined,ChangeUp,Undefined,0.0,-1.539459,3.130218,1525.057164,276.32313,9:15,5.56149,-2.8614,4.85014,-37.56848,2.61528,-12.60091,0.97089,-0.94522,,84.93452,Sinker,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Pitcher's Count,0
,6,"Berg, Jack",2.0,1.0,Strikeout,Slider,Undefined,0.0,-1.746718,2.540783,2160.386161,286.898575,9:30,5.45039,-3.27823,5.00802,-38.94553,1.91547,-2.50465,0.55404,-1.08708,,83.73115,ChangeUp,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,1.0,20240913-UArizona-Private-2,Right,Left,,,,False,False,False,False,Pitcher's Count,3
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Undefined,0.0,-0.494064,4.309115,1665.560593,284.841858,9:30,5.63918,-2.84961,4.78394,-29.94344,4.72296,-13.70851,2.67427,0.10005,81.23674,91.76533,,0,0,11.913404,156.464286,,FoulBallNotFieldable,Undefined,,,1379.711634,1,1.0,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,2
,2,"Berg, Jack",1.0,0.0,Undefined,Sinker,Undefined,0.0,-2.30328,4.763035,1810.849772,280.51302,9:15,5.73823,-2.94963,5.20319,-28.25045,4.43185,-18.0004,1.20908,0.04039,,94.13707,Sinker,0,1,,,,FoulBallNotFieldable,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Neutral Count,2
,3,"Berg, Jack",2.0,0.0,Undefined,ChangeUp,Undefined,0.0,0.870681,1.336417,1398.329837,244.221303,8:15,5.51208,-2.9307,4.89608,-47.63546,-5.07181,-13.24398,2.36631,-2.77006,,82.52718,Sinker,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,0
,4,"Berg, Jack",2.0,1.0,Undefined,ChangeUp,Undefined,0.0,-0.546396,6.558262,1488.813087,276.346623,9:15,5.55092,-2.78013,5.34397,-37.51478,3.21492,-17.1478,1.90875,1.96992,,84.08521,ChangeUp,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,0
,5,"Berg, Jack",2.0,2.0,Strikeout,Slider,Undefined,0.0,-1.400101,3.097047,2358.522199,84.712073,2:45,5.41672,-2.8253,4.8756,-41.18738,1.76854,5.92414,0.65741,0.60177,,81.96847,ChangeUp,0,1,,,,StrikeSwinging,Undefined,1.0,,,1,,,,0.0,0.0,0.0,1.0,1.0,140.0,0,0,0,1.0,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,Pitcher's Count,3
1.0,1,"Berg, Jack",0.0,0.0,Undefined,Sinker,Undefined,0.0,-1.551645,6.464528,1841.588402,298.833393,10:00,5.60387,-2.8844,5.35668,-23.50131,8.91288,-14.42485,2.18057,2.00205,,93.92024,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,False,False,False,False,0-0 Count,2
,2,"Berg, Jack",0.0,1.0,Undefined,Sinker,Single,0.0,-1.129382,3.966602,1866.132679,286.476248,9:30,5.60844,-2.96949,4.9966,-27.99726,5.87122,-16.31946,2.20636,-0.5785,98.19232,92.34358,Sinker,0,0,-1.712896,10.652007,33.51859,InPlay,GroundBall,,,1171.47605,1,1.0,1.0,,1.0,1.0,1.0,1.0,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Left,Left,,,,True,False,False,False,Neutral Count,2
1.0,1,"Berg, Jack",0.0,0.0,Undefined,ChangeUp,Undefined,0.0,-1.681262,4.253712,1522.878163,263.269404,8:45,5.55906,-2.86584,5.12947,-43.19857,-0.49165,-15.67926,0.37093,-0.15892,,82.24353,,0,1,,,,BallCalled,Undefined,,,,1,,,,,,,,,140.0,0,0,0,,0.0,20240920-UArizona-Private-1,Right,Left,,,,False,False,False,False,0-0 Count,0
